CÓDIGO,DESCRIPCIÓN,NOMBRE,LÍNEA,BENEFICIARIO,REGIÓN,IMPACTO,SECTOR,DURACIÓN,APORTE-CORFO,TOTAL,RES,FECHA,TOMA-RAZÓN
17PAEI-73133,No contiene descripción ...,"“Concepción Global y creativo: Como la creatividad, sostenibilidad e innovación local transforman el futuro económico de la Región del Bio Bio, en el contexto de los cambios tecnológicos y la nueva globalización""",Concurso  Regional PAEI (Programa de Apoyo Entorno) - Bío-Bío,INSTITUTO REGIONAL DE ADMINISTRACION DE EMPRESAS,VIII BIOBIO,,(NO APLICA),0,"$30,290,000","$45,190,000",180,16-06-2017,
11PAEI-9514,No contiene descripción ...,APRENDER A EMPRENDER EDUCACIÓN EN EMPRENDIMIENTO,APOYO AL ENTORNO DE EMPRENDIMIENTO,FUNDACIÓN CHILE,X LOS LAGOS,X LOS LAGOS,EDUCACION,0,"$93,000,000","$134,660,000",526,22-06-2011,
07CMEPBM-09,No contiene descripción ...,"IDENTIFICACIÓN DE OPORTUNIDADES PARA EL DESARROLLO DE LA BIOPROSPECCIÓN EN EL MERCADO INTERNACIONAL FARMACÉUTICO, COSMETOLÓGICO Y DE ALIMENTOS.",PROGRAMA DE PROSPECCIÓN E INVESTIGACIÓN DE MERCADO,NEOS SERVICIOS Y GESTION TECNOLÓGICA LIMITADA,REGION METROPOLITANA,,ALIMENTOS,0,$0,$0,1409,14-12-2007,
19REDEXP-115734,No contiene descripción ...,Destino para los 500 años del Estrecho Magallanes,NODOS PARA LA COMPETITIVIDAD,GDC,XII MAGALLANES,,TURISMO,0,"$5,000,000","$5,000,000",76,30-08-2019,
07PLE1-5493,No contiene descripción ...,DESARROLLO DE DISPOSITIVOS DE DETECCIÓN RÁPIDA DE ANTIBIÓTICOS PARA LA INDUSTRIA SALMONERA,CONSORCIOS TECNOLÓGICOS ESTUDIOS DE PREINVERSIÓN,AUSTRAL BIOTECH S.A.,REGION METROPOLITANA,,PESCA Y ACUICULTURA,0,$0,$0,386,16-03-2007,
20PARCO-149200,No contiene descripción ...,EVICE UP,PROGRAMA DE APOYO A LA REACTIVACIÓN,SOCIEDAD COMERCIALIZADORA EVICE LIMITADA,V VALPARAISO,,COMERCIO,0,"$4,000,000","$4,000,000",195,07-12-2020,
19REDPRO-121001,No contiene descripción ...,Frutillas Valle Central Pelluhue Chanco.,RED PROVEEDORES,Agrícola y Comercial Valle Central Ltda.,VII  MAULE,,OTROS,0,"$4,000,000","$7,000,000",157,05-12-2019,
20DEIN-129756,No contiene descripción ...,- Fungi Ñuble - Planta de producción de Champiñones,DESARROLLA INVERSION,Cultivo y comercialización de hongos Leopoldo Andrés Maximiliano Cornejo Soto EIRL,XVI ÑUBLE,,ALIMENTOS,0,"$18,788,616","$30,175,656",49,10-06-2020,
19EXP-109167,No contiene descripción ...,Gestión eficiente del uso del agua potable,SEMILLA EXPANDE,M2M TECHNOLOGIES SPA,REGION METROPOLITANA,,(NO APLICA),0,"$27,000,000","$35,333,334",574,26-09-2019,
20REDGTT-154255-2,No contiene descripción ...,GTT Espárragos Maule Sur,RED TECNOLOGICA GTT,GDC,VII  MAULE,,OTROS,12,"$24,000,000","$29,000,000",149,12-11-2021,
08CTI01-26,No contiene descripción ...,DIGITALIZACIÓN DE PYMES A TRAVÉS DE LA IMPLEMENTACIÓN DE UN SISTEMA INFORMÁTICO Y REMOTO DE PRODUCCIÓN,INNOVACIÓN PRECOMPETITIVA,MIPLANTA LIMITADA,REGION METROPOLITANA,,TECNOLOGIAS DE INFORMACION,0,$0,$0,316,28-11-2008,28-11-2008
18FOAVI-102709,No contiene descripción ...,Implementación y Certificación ISO 14001-2015 FAIQ CHILE,PROGRAMA DE FOMENTO A LA CALIDAD,FAIQ LTDA.,IX LA ARAUCANIA,IX LA ARAUCANIA,MULTISECTORIAL,0,"$3,200,000","$4,400,000",138,30-10-2018,
14CS-31816,No contiene descripción ...,MEDICALDESK,CAPITAL SEMILLA (E),Cecilia Carolina Calderón Moreno,REGION METROPOLITANA,REGION METROPOLITANA,SALUD,10,"$25,000,000","$34,300,000",2044,22-12-2014,
20PARCO-152786,No contiene descripción ...,"mejorando la comunicacion radial ,Radio Naranja Villa Alegre",PROGRAMA DE APOYO A LA REACTIVACIÓN,publicidad y radio,VII  MAULE,,OTROS,0,"$4,000,000","$4,000,000",168,11-12-2020,
22PDT-226733,No contiene descripción ...,Mejorar la competitividad de los productores de uva de vino de Casa Blanca a través de la gestión del recurso hídrico incorporando el método de Presupuesto del Agua (Water Budget) y nuevas tecnologías asociadas a la determinación del estrés hídrico.,PROGRAMAS DE DIFUSIÓN TECNOLÓGICA (v).,FUNDACIÓN UC DAVIS CHILE LIFE SCIENCES INNOVATION CENTER,V VALPARAISO,,(NO APLICA),0,"$41,650,800","$60,905,040",189,02-12-2022,
20CREFOR-131783,No contiene descripción ...,Molino Antuko,CRECIENDO,Cooperativa Campesina Antuko Limitada,IX LA ARAUCANIA,,(NO APLICA),0,"$15,000,000","$16,170,000",83,24-11-2020,
20PARCO-136216,No contiene descripción ...,PAR Inversiones Comendador Ldta,PROGRAMA DE APOYO A LA REACTIVACIÓN,Inmobiliaria Comendador Limitada,VII  MAULE,,OTROS,0,"$4,000,000","$4,000,000",78,28-07-2020,
13IDL2-18670,No contiene descripción ...,Diseño y desarrollo de un reactor-absorbedor horizontal para captura de gases de efecto invernadero mediante una reacción con un,"LINEA 2, PROYECTO DE I+D APLICADA",ORANGE INVESTMENTS LIMITADA,REGION METROPOLITANA,,MULTISECTORIAL,0,$0,$0,829,31-07-2013,
20CYC-BB-136140,No contiene descripción ...,plataforma de salud y bienestar.,Conecta y Colabora,Consultora Trebol SpA Consultora Trebol SpA Consultora Trebol SpA,VIII BIOBIO,,INFORMATICO,0,"$29,770,000","$36,746,385",315,30-09-2020,
07PCS-0193,No contiene descripción ...,PLANTEL DE PRODUCCIÓN Y CRIANZA DE COPEPODOS,CAPITAL SEMILLA ESTUDIOS DE PREINVERSIÓN,MARÍA LORENA CATALÁN MATUS,V VALPARAISO,,PESCA Y ACUICULTURA,0,$0,$0,1227,23-11-2007,
23ARE-247330,No contiene descripción ...,Recuperar y expandir empresa Aserradero Caripán.,Activa Inversión,ALCINA DEL CARMEN CARIPAN GONZALEZ,VIII BIOBIO,,FORESTAL,0,"$45,000,000","$86,000,000",26,16-08-2023,
17PIRAM-80177,No contiene descripción ...,S3 PROCESO OBJETIVO Y RAPIDO DE DETECCION DE ESTRES PSICOLABORAL,PROTOTIPOS DE INNOVACIÓN REGIONAL,GEOIT SOLUCIONES INFORMATICAS LIMITADA,,,BIOMEDICINA,0,"$39,995,634","$58,077,477",159,06-10-2017,
20PARCO-137162,No contiene descripción ...,SE REINVENTA RESTOBAR A LA LIMEÑA,PROGRAMA DE APOYO A LA REACTIVACIÓN,Janet  ticona medina,XV ARICA Y PARINACOTA,,(NO APLICA),0,"$3,000,000","$3,000,000",46,10-08-2020,
18FOAVI-102440,No contiene descripción ...,Implementación y Certificación ISO 9001:2015 Quimey Cofque Ltda.,PROGRAMA DE FOMENTO A LA CALIDAD,Comercializadora y panificadora Quimey Cofque Limitada,IX LA ARAUCANIA,IX LA ARAUCANIA,ALIMENTOS,0,"$3,200,000","$4,400,000",117,16-10-2018,
23VIR-244917,No contiene descripción ...,"""Adaptación al Cambio Climático: Camino hacia la resiliencia en Región de Los Lagos""",VIRALIZA,ROBERTO GAETE COMUNICACIONES LIMITADA,REGION METROPOLITANA,,(NO APLICA),0,"$33,765,500","$48,365,500",945,16-08-2023,
18PRAER-90212,No contiene descripción ...,"""Blume in a pot, ver para crecer. Flores de bulbo en contra estación""",Programa Regional de Apoyo al Emprendimiento - Región de Los Rios,BLUME in a pot Spa.,XIV LOS RIOS,XIV LOS RIOS,OTROS,0,"$20,000,000","$26,666,667",87,23-07-2018,
20AI-152744,No contiene descripción ...,"""Complejo Turístico El Salto del Trubunleo, Antuco""",Activa Inversión,Gastón Eduardo Rodriguez Castillo,VIII BIOBIO,,TURISMO,0,"$22,000,000","$28,666,666",466,14-12-2020,
15PIRE-45554,No contiene descripción ...,"""Desarrollo de un secador móvil modular de biomasa para energía""",PROTOTIPOS DE INNOVACIÓN,Patricio Nickel Seiffert,IX LA ARAUCANIA,,ENERGÍA,0,$0,$0,158,09-10-2015,
20PARCO-139983,No contiene descripción ...,"""Digitalizando Empresa de servicios J y V para superar momentos difificiles""",PROGRAMA DE APOYO A LA REACTIVACIÓN,Ingeniería y servicios industriales J y V spa,VII  MAULE,,OTROS,0,"$4,000,000","$4,000,000",92,26-08-2020,
16PAEI-59482,No contiene descripción ...,"""Educando Jóvenes en innovación Social en la Isla de Pascua""",PROGRAMA DE APOYO AL ENTORNO PARA EL EMPRENDIMIENTO Y LA INNOVACION,ONG CORPORACIÓN ACCIÓN EMPRENDEDORA,V VALPARAISO,,(NO APLICA),0,"$30,092,500","$46,705,000",135,17-08-2015,
18PAEIR-103977,No contiene descripción ...,"""El Desafío"": Concurso de emprendimiento e innovación",PROGRAMA DE APOYO AL ENTORNO PARA EL EMPRENDIMIENTO Y LA INNOVACIÓN-PAEI REGIONAL,BC-TIC SPA,,,(NO APLICA),0,"$23,496,670","$36,816,670",305,24-12-2018,
15PRAE-43471,No contiene descripción ...,"""Elaboración de cerveza artesanal ""Cavancha""  con granos y sabores de Tarapaca""",PRAE 2015,ALFEREZ SPA,I TARAPACA,,ALIMENTOS,0,"$21,181,360","$29,965,360",43,10-11-2015,
19PAEIR-121560,No contiene descripción ...,"""Emprende Valparaíso"" Difusión de herramientas de apoyo a emprendedores e innovadores",PROGRAMA DE APOYO AL ENTORNO PARA EL EMPRENDIMIENTO Y LA INNOVACIÓN-PAEI REGIONAL,SOLUCIONES LABORALES INTEGRALES SPA,V VALPARAISO,,(NO APLICA),0,"$20,940,000","$34,190,000",236,19-12-2019,
16VIP-71673,No contiene descripción ...,"""EVALUACIÓN TÉCNICA DEL DESARROLLO DE UNA TORTILLA DE CENTENO SIN CONSERVANTES""",PROGRAMA DE VINCULACION EMPRESA - ENTIDADES PROVEEDORAS DE CONOCIMIENTO: VOUCHER DE INNOVACIÓN.,PABLO CESAR RODOLFO  VERA NEULING,V VALPARAISO,,ALIMENTOS,0,"$6,228,900","$6,921,000",50,01-03-2017,
16PAEI-68109,No contiene descripción ...,"""Expansión metodología Novotraining para la generación de competencias actitudinales y aptitudinales de emprendimiento y la vinculación de emprendedores con inversionistas ángeles para levantar capital"".",PROGRAMA DE APOYO AL ENTORNO PARA EL EMPRENDIMIENTO Y LA INNOVACION,HOUSENOVO CO-WORKING SpA,V VALPARAISO,,(NO APLICA),0,"$25,000,000","$35,829,103",27,01-02-2017,
15CS-43231,No contiene descripción ...,"""FACTOREX BROKERS"" LA PRIMERA PLATAFORMA WEB DE COMERCIO EXTERIOR QUE BRINDA LIQUIDEZ AL EXPORTADOR!",CAPITAL SEMILLA (E),FactorEx Brokers SpA,REGION METROPOLITANA,,OTROS,0,"$40,000,000","$48,500,000",300,26-10-2015,
21FAMU-185017,No contiene descripción ...,"""Fortalecimiento de Macondo Konzerte y promoción de portafolio artístico""",Factoría Musical,Eventos Macondo Konzerte Carmen Pérez E.I.R.L. Eventos Macondo Konzerte Carmen Pérez E.I.R.L. Evento,V VALPARAISO,,INDUSTRIAS CREATIVAS,0,"$16,996,067","$21,246,067",1406,24-11-2021,
04INCUBA-002,No contiene descripción ...,"""INCUBAUNAP"", INCUBADORA DE NEGOCIOS DE LA UNIVERSIDAD ARTURO PRAT",INCUBADORAS DE NEGOCIOS FORTALECIMIENTO,UNIVERSIDAD ARTURO PRAT,I TARAPACA,,PESCA Y ACUICULTURA,0,$0,$0,1443,29-12-2004,
18PAEI-103111,No contiene descripción ...,"""Ingeniosas: Ciencia y Tecnología para Todas"" trabajando con docentes para fomentar habilidades y actitud emprendedora",PROGRAMA DE APOYO AL ENTORNO PARA EL EMPRENDIMIENTO Y LA INNOVACION,FUNDACIÓN GIRLS IN TECH CHILE,V VALPARAISO,,(NO APLICA),0,"$16,322,000","$23,422,000",376,11-06-2019,
18PRAEA-104154,No contiene descripción ...,"""MaxCu"", ropa con tecnología e hilado de cobre. arte2foto@gmail.com",PROGRAMA REGIONAL DE APOYO AL EMPRENDIMIENTO (E),FUNDACION MI NORTE,II ANTOFAGASTA,,MANUFACTURA,0,"$25,000,000","$33,333,333",104,24-05-2019,
18AUNA-100400,No contiene descripción ...,"""No quiero ser tu hermano""",PROGRAMA DISTRIBUCIÓN AUDIOVISUAL(ANT),BYC PRODUCCIONES S.P.A.,REGION METROPOLITANA,,INDUSTRIAS CREATIVAS,0,"$21,000,000","$30,000,000",1430,22-11-2018,
08MTEC-7594,No contiene descripción ...,"""NUEVAS TECNOLOGIAS APLICADAS ACTUALMENTE EN LOS PROCESOS DE INDUSTRIALIZACION DE LA FRAMBUESA EN SERBIA""",MISIONES TECNOLÓGICAS,BAYAS DEL SUR S.A,REGION METROPOLITANA,,,0,$0,$0,935,14-11-2008,
19VIR-116101,No contiene descripción ...,"""Patagonia Makers: Talleres de Innovación y Experiencias Tecnológicas Interactivas"".",VIRALIZA,HUMM CO-CREATION Y CIA LIMITADA,XI AYSEN,,(NO APLICA),0,"$23,969,400","$34,766,945",826,06-12-2019,
22REDME-231209,No contiene descripción ...,"""PREPARANDO COMPETENCIAS PARA EXPORTAR SERVICIOS TECNOLÓGICOS""",Red Mercados,GDC,REGION METROPOLITANA,,INFORMATICO,0,"$46,000,000","$50,444,444",151,27-12-2022,
21REDME-189598,No contiene descripción ...,"""PREPARANDO COMPETENCIAS PARA EXPORTAR SERVICIOS TECNOLÓGICOS""",Red Mercados,GDC,REGION METROPOLITANA,,INFORMATICO,0,"$46,000,000","$50,444,444",163,21-12-2021,
08MTEC-7489,No contiene descripción ...,"""PROSPECCION A ESPAÑA DE TECNOLOGIAS, TENDENCIAS Y NUEVAS OPORTUNIDADES TECN. PARA EL MEJORAMIENTO DE LA COMPETITIVIDAD Y SU POSTERIOR TRANSF. HACIA LOS DIVERSOS NODOS DE LA CADENA DE VALOR DE LA IND.DEL MEJILLON.REGION DE LOS LAGOS"".",MISIONES TECNOLÓGICAS,PATAGONIA MUSSELS,REGION METROPOLITANA,,,0,$0,$0,724,29-09-2008,
16VIP-58546,No contiene descripción ...,PROTOTIPO DE CONTENEDOR PLÁSTICO COMPOSTABLE Y BIODEGRADABLE PARA SU UTILIZACIÓN EN BIOCONTROLADORES DE PLAGAS DE PINUS Y EUCALIPTUS,PROGRAMA DE VINCULACION EMPRESA - ENTIDADES PROVEEDORAS DE CONOCIMIENTO: VOUCHER DE INNOVACIÓN.,ZEA PLAST SPA,VIII BIOBIO,,MANUFACTURA,0,$0,$0,113,06-06-2016,
16PADI-61131,No contiene descripción ...,"""Prueba de Actitud""/""Mucha Ex, Poco Sex""",PROGRAMA DISTRIBUCIÓN AUDIOVISUAL(ANT),FORASTERO PRODUCCIONES AUDIOVISUALES LIMITADA,REGION METROPOLITANA,,INDUSTRIAS CREATIVAS,0,"$15,000,000","$21,430,000",857,22-06-2016,
17PTI-75681,No contiene descripción ...,"""PUERTO MONTT, CALBUCO, MAULLIN, PORTAL DE LA PATAGONIA"".  Un destino gastronómico, arqueológico y cultural.",PROGRAMAS TERRITORIALES INTEGRADOS ( PTI ),GDC,X LOS LAGOS,,TURISMO,0,"$22,000,000","$22,000,000",966,13-07-2017,
